"No.","Time","Source","Destination","Protocol","Length","Info"
"305","10.903432","172.20.24.104","1.1.1.1","DNS","80","Standard query 0x0001 PTR 1.1.1.1.in-addr.arpa"
"306","10.910851","1.1.1.1","172.20.24.104","DNS","109","Standard query response 0x0001 PTR 1.1.1.1.in-addr.arpa PTR one.one.one.one"
"307","10.912874","172.20.24.104","1.1.1.1","DNS","81","Standard query 0x0002 A google.com.VITCHOSDNS"
"308","10.922546","1.1.1.1","172.20.24.104","DNS","156","Standard query response 0x0002 No such name A google.com.VITCHOSDNS SOA a.root-servers.net"
"310","10.922838","172.20.24.104","1.1.1.1","DNS","81","Standard query 0x0003 AAAA google.com.VITCHOSDNS"
"314","10.964580","1.1.1.1","172.20.24.104","DNS","156","Standard query response 0x0003 No such name AAAA google.com.VITCHOSDNS SOA a.root-servers.net"
"315","10.965177","172.20.24.104","1.1.1.1","DNS","70","Standard query 0x0004 A google.com"
"316","10.971076","1.1.1.1","172.20.24.104","DNS","86","Standard query response 0x0004 A google.com A 142.250.77.174"
"318","10.975691","172.20.24.104","1.1.1.1","DNS","70","Standard query 0x0005 AAAA google.com"
"319","10.981026","1.1.1.1","172.20.24.104","DNS","98","Standard query response 0x0005 AAAA google.com AAAA 2404:6800:4007:81c::200e"
"974","47.939133","172.20.24.104","1.1.1.1","DNS","76","Standard query 0xc953 A mmg.whatsapp.net"
"987","47.947780","1.1.1.1","172.20.24.104","DNS","117","Standard query response 0xc953 A mmg.whatsapp.net CNAME mmx-ds.cdn.whatsapp.net A 57.144.161.32"
"1709","71.661469","172.20.24.104","1.1.1.1","DNS","85","Standard query 0x5668 A chrome.cloudflare-dns.com"
"1710","71.661716","172.20.24.104","1.1.1.1","DNS","85","Standard query 0xb0b8 HTTPS chrome.cloudflare-dns.com"
"1711","71.667667","1.1.1.1","172.20.24.104","DNS","117","Standard query response 0x5668 A chrome.cloudflare-dns.com A 162.159.61.3 A 172.64.41.3"
"1712","71.667667","1.1.1.1","172.20.24.104","DNS","158","Standard query response 0xb0b8 HTTPS chrome.cloudflare-dns.com HTTPS"
"5111","204.235162","172.20.24.104","1.1.1.1","DNS","89","Standard query 0xb4db A v20.events.data.microsoft.com"
"5112","204.240836","1.1.1.1","172.20.24.104","DNS","227","Standard query response 0xb4db A v20.events.data.microsoft.com CNAME win-global-asimov-leafs-events-data.trafficmanager.net CNAME onedscolprduks05.uksouth.cloudapp.azure.com A 51.132.193.105"
