"No.","Time","Source","Destination","Protocol","Length","Info"
"261","18.080557","172.20.24.104","1.1.1.1","DNS","74","Standard query 0x9622 A x1.c.lencr.org"
"262","18.087352","1.1.1.1","172.20.24.104","DNS","179","Standard query response 0x9622 A x1.c.lencr.org CNAME crl.root-x1.letsencrypt.org.edgekey.net CNAME e8652.dscx.akamaiedge.net A 23.58.26.110"
"271","18.108686","172.20.24.104","1.1.1.1","DNS","77","Standard query 0x28df A crl3.digicert.com"
"272","18.115280","1.1.1.1","172.20.24.104","DNS","197","Standard query response 0x28df A crl3.digicert.com CNAME crl.edge.digicert.com CNAME cac-ocsp.digicert.com.edgekey.net CNAME e3913.cd.akamaiedge.net A 23.58.31.18"
"413","26.982208","172.20.24.104","8.8.8.8","DNS","80","Standard query 0x0001 PTR 8.8.8.8.in-addr.arpa"
"414","26.987007","8.8.8.8","172.20.24.104","DNS","104","Standard query response 0x0001 PTR 8.8.8.8.in-addr.arpa PTR dns.google"
"415","26.988511","172.20.24.104","8.8.8.8","DNS","81","Standard query 0x0002 A google.com.VITCHOSDNS"
"416","27.012372","8.8.8.8","172.20.24.104","DNS","156","Standard query response 0x0002 No such name A google.com.VITCHOSDNS SOA a.root-servers.net"
"417","27.012756","172.20.24.104","8.8.8.8","DNS","81","Standard query 0x0003 AAAA google.com.VITCHOSDNS"
"418","27.041109","8.8.8.8","172.20.24.104","DNS","156","Standard query response 0x0003 No such name AAAA google.com.VITCHOSDNS SOA a.root-servers.net"
"419","27.041481","172.20.24.104","8.8.8.8","DNS","70","Standard query 0x0004 A google.com"
"420","27.046237","8.8.8.8","172.20.24.104","DNS","86","Standard query response 0x0004 A google.com A 142.250.196.46"
"421","27.049669","172.20.24.104","8.8.8.8","DNS","70","Standard query 0x0005 AAAA google.com"
"609","40.646908","172.20.24.104","1.1.1.1","DNS","89","Standard query 0xff1b A v20.events.data.microsoft.com"
"610","40.655878","1.1.1.1","172.20.24.104","DNS","230","Standard query response 0xff1b A v20.events.data.microsoft.com CNAME win-global-asimov-leafs-events-data.trafficmanager.net CNAME onedscolprdweu02.westeurope.cloudapp.azure.com A 52.178.17.2"
"3157","157.105729","172.20.24.104","1.1.1.1","DNS","74","Standard query 0xac11 A g.whatsapp.net"
"3158","157.111787","1.1.1.1","172.20.24.104","DNS","113","Standard query response 0xac11 A g.whatsapp.net CNAME chat.cdn.whatsapp.net A 157.240.7.53"
"3232","158.343209","172.20.24.104","1.1.1.1","DNS","89","Standard query 0x9dfe A media-maa2-2.cdn.whatsapp.net"
"3234","158.343846","172.20.24.104","1.1.1.1","DNS","89","Standard query 0xc8c9 A media-bom2-2.cdn.whatsapp.net"
"3238","158.344374","172.20.24.104","1.1.1.1","DNS","89","Standard query 0xa2db A media-bom2-3.cdn.whatsapp.net"
"3239","158.344494","172.20.24.104","1.1.1.1","DNS","76","Standard query 0x5c9d A mmg.whatsapp.net"
"3242","158.350365","1.1.1.1","172.20.24.104","DNS","105","Standard query response 0x9dfe A media-maa2-2.cdn.whatsapp.net A 157.240.192.52"
"3243","158.350365","1.1.1.1","172.20.24.104","DNS","105","Standard query response 0xc8c9 A media-bom2-2.cdn.whatsapp.net A 163.70.144.60"
"3244","158.350365","1.1.1.1","172.20.24.104","DNS","105","Standard query response 0xa2db A media-bom2-3.cdn.whatsapp.net A 57.144.125.32"
"3245","158.350365","1.1.1.1","172.20.24.104","DNS","117","Standard query response 0x5c9d A mmg.whatsapp.net CNAME mmx-ds.cdn.whatsapp.net A 57.144.161.32"
"4229","204.131111","172.20.24.104","1.1.1.1","DNS","75","Standard query 0xed11 A wpad.VITCHOSDNS"
"4230","204.137706","1.1.1.1","172.20.24.104","DNS","150","Standard query response 0xed11 No such name A wpad.VITCHOSDNS SOA a.root-servers.net"
"5784","291.601003","172.20.24.104","1.1.1.1","DNS","74","Standard query 0xe8b7 A g.whatsapp.net"
"5785","291.606290","1.1.1.1","172.20.24.104","DNS","113","Standard query response 0xe8b7 A g.whatsapp.net CNAME chat.cdn.whatsapp.net A 157.240.15.61"
"6103","319.193249","172.20.24.104","1.1.1.1","DNS","77","Standard query 0xeef4 A dsadata.intel.com"
"6104","319.201220","1.1.1.1","172.20.24.104","DNS","186","Standard query response 0xeef4 A dsadata.intel.com CNAME dsadata.intel.com.edgesuite.net CNAME a1421.dscd.akamai.net A 106.51.156.146 A 106.51.156.139"
