"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.217.138.71","172.20.24.104","TLSv1.2","20784","Ignored Unknown Record"
"2","0.000000","172.217.138.71","172.20.24.104","TLSv1.2","1124","Ignored Unknown Record"
"3","0.000070","172.20.24.104","172.217.138.71","TCP","54","54989  >  443 [ACK] Seq=1 Ack=21801 Win=1023 Len=0"
"4","0.030786","172.20.24.104","172.64.155.209","TCP","54","55255  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=0"
"5","0.032690","172.64.155.209","172.20.24.104","TLSv1.2","782","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"6","0.077970","172.20.24.104","172.64.155.209","TCP","54","55255  >  443 [ACK] Seq=1 Ack=729 Win=255 Len=0"
"7","0.188457","54.148.71.251","172.20.24.104","TLSv1.2","284","Application Data"
"8","0.190103","172.20.24.104","54.148.71.251","TLSv1.2","89","Application Data"
"9","0.191553","54.148.71.251","172.20.24.104","TLSv1.2","85","Application Data"
"10","0.232649","172.20.24.104","54.148.71.251","TCP","54","55333  >  443 [ACK] Seq=36 Ack=262 Win=254 Len=0"
"11","0.563489","172.64.155.209","172.20.24.104","TLSv1.2","312","Application Data"
"12","0.608276","172.20.24.104","172.64.155.209","TCP","54","55255  >  443 [ACK] Seq=1 Ack=987 Win=254 Len=0"
"13","0.609749","172.64.155.209","172.20.24.104","TLSv1.2","130","Application Data, Application Data"
"14","0.654606","172.20.24.104","172.64.155.209","TCP","54","55255  >  443 [ACK] Seq=1 Ack=1063 Win=254 Len=0"
"15","0.763370","172.20.24.104","3.233.158.24","TCP","55","54318  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1 [TCP PDU reassembled in 675]"
"16","0.765689","3.233.158.24","172.20.24.104","TCP","66","443  >  54318 [ACK] Seq=1 Ack=2 Win=78 Len=0 SLE=1 SRE=2"
"17","0.855043","Intel_f4:55:3d","Broadcast","ARP","42","Who has 172.20.24.249? Tell 172.20.24.104"
"18","0.860437","Intel_2c:15:14","Intel_f4:55:3d","ARP","56","172.20.25.4 is at 3c:9c:0f:2c:15:14"
"19","0.860741","Intel_9c:37:9f","Intel_f4:55:3d","ARP","56","172.20.25.198 is at 00:91:9e:9c:37:9f"
"20","0.877092","Intel_79:5a:54","Intel_f4:55:3d","ARP","56","172.20.24.56 is at 50:84:92:79:5a:54"
"21","0.886038","Intel_99:ab:60","Intel_f4:55:3d","ARP","56","172.20.25.153 is at 84:5c:f3:99:ab:60"
"22","0.900934","Intel_a7:51:b6","Intel_f4:55:3d","ARP","56","172.20.24.188 is at d4:54:8b:a7:51:b6"
"23","0.907078","Intel_83:53:c9","Intel_f4:55:3d","ARP","56","172.20.24.123 is at 50:84:92:83:53:c9"
"24","0.927199","Intel_fd:8d:29","Intel_f4:55:3d","ARP","56","172.20.25.187 is at 0c:9a:3c:fd:8d:29"
"25","0.927839","Intel_de:f0:da","Intel_f4:55:3d","ARP","56","172.20.25.25 is at 7c:21:4a:de:f0:da"
"26","0.933114","172.20.24.104","148.113.20.112","TCP","55","49710  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"27","0.934667","148.113.20.112","172.20.24.104","TCP","66","443  >  49710 [ACK] Seq=1 Ack=2 Win=491 Len=0 SLE=1 SRE=2"
"28","2.375202","172.20.24.104","172.217.138.71","TLSv1.2","2145","Application Data"
"29","2.375350","172.20.24.104","172.217.138.71","TLSv1.2","2069","Application Data"
"30","2.376784","172.217.138.71","172.20.24.104","TCP","60","443  >  54989 [ACK] Seq=21801 Ack=2092 Win=970 Len=0"
"31","2.377242","172.217.138.71","172.20.24.104","TCP","60","443  >  54989 [ACK] Seq=21801 Ack=4107 Win=975 Len=0"
"32","2.381435","172.217.138.71","172.20.24.104","TLSv1.2","1054","Application Data, Application Data"
"33","2.431389","172.20.24.104","172.217.138.71","TCP","54","54989  >  443 [ACK] Seq=4107 Ack=22801 Win=1020 Len=0"
"34","2.435339","172.217.138.71","172.20.24.104","TLSv1.2","510","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"35","2.476777","172.20.24.104","172.217.138.71","TCP","54","54989  >  443 [ACK] Seq=4107 Ack=23257 Win=1023 Len=0"
"36","2.526990","172.20.24.104","142.251.221.196","TCP","66","55837  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"37","2.532109","142.251.221.196","172.20.24.104","TCP","66","443  >  55837 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1382 SACK_PERM WS=256"
"38","2.532227","172.20.24.104","142.251.221.196","TCP","54","55837  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"39","2.533504","172.20.24.104","142.251.221.196","TLSv1.3","1842","Client Hello (SNI=www.google.com)"
"40","2.535395","142.251.221.196","172.20.24.104","TCP","60","443  >  55837 [ACK] Seq=1 Ack=1383 Win=64256 Len=0"
"41","2.535650","142.251.221.196","172.20.24.104","TCP","60","443  >  55837 [ACK] Seq=1 Ack=1789 Win=64000 Len=0"
"42","2.571037","142.251.221.196","172.20.24.104","TLSv1.3","1436","Server Hello, Change Cipher Spec"
"43","2.571564","142.251.221.196","172.20.24.104","TCP","1436","443  >  55837 [PSH, ACK] Seq=1383 Ack=1789 Win=64000 Len=1382 [TCP PDU reassembled in 44]"
"44","2.571564","142.251.221.196","172.20.24.104","TLSv1.3","1366","Application Data"
"45","2.571634","172.20.24.104","142.251.221.196","TCP","54","55837  >  443 [ACK] Seq=1789 Ack=4077 Win=65280 Len=0"
"46","2.572644","172.20.24.104","142.251.221.196","TLSv1.3","128","Change Cipher Spec, Application Data"
"47","2.574203","142.251.221.196","172.20.24.104","TCP","60","443  >  55837 [ACK] Seq=4077 Ack=1863 Win=64000 Len=0"
"48","2.969788","100.25.240.30","172.20.24.104","TLSv1.2","100","Application Data"
"49","2.970118","172.20.24.104","100.25.240.30","TCP","54","55724  >  443 [FIN, ACK] Seq=1 Ack=47 Win=253 Len=0"
"50","2.970146","100.25.240.30","172.20.24.104","TLSv1.2","85","Encrypted Alert"
"51","2.970208","172.20.24.104","100.25.240.30","TCP","54","55724  >  443 [RST, ACK] Seq=2 Ack=78 Win=0 Len=0"
"52","2.971840","100.25.240.30","172.20.24.104","TCP","60","443  >  55724 [ACK] Seq=79 Ack=2 Win=158 Len=0"
